,raw_text,clean_text
0,its only monday but i already wish it was friday.,its only monday but i already wish it was friday.
1,Still getting over a cold...and need sleep depite having to get up in a bout an hour.,still getting over a cold...and need sleep depite having to get up in a bout an hour.
2,is not wanting to leave Chicago today!!,is not wanting to leave chicago today!!
3,"ustream.tv streams, be they live or recorded, don't work in FF, Safari or Opera. Must be Flash 10 that's borken.","ustream.tv streams, be they live or recorded, don't work in ff, safari or opera. must be flash 10 that's borken."
4,silly father left laptop in QLD car rental place  -lucky was found-he didn;t back up all photos- I suppose that comes with old age,silly father left laptop in qld car rental place -lucky was found-he didn t back up all photos- i suppose that comes with old age
5,i have a headache,i have a headache
6,Time to wake up.  http://twitpic.com/4jafb,time to wake up.
7,deffinetly not having a good time trying to sleep,deffinetly not having a good time trying to sleep
8,working all day on mothers dayy  but i left my mommy a nice present for when they get back !,working all day on mothers dayy but i left my mommy a nice present for when they get back !
9,@_Chelsea_Marie oh have u seen it yet? i havent  i have agoraphobia (or somethin like it) so its so hard...,oh have u seen it yet? i havent i have agoraphobia or somethin like it so its so hard...
10,"Man. I'd actually probably sneak out to do it, too","man. i'd actually probably sneak out to do it, too"
11,All of my friends seem to be partying tonight and i am home,all of my friends seem to be partying tonight and i am home
12,says @mightyvanessa why are you guys deleting your twitter accounts!!! This is bad...  how sad...huhu...depr... http://plurk.com/p/suovo,says why are you guys deleting your twitter accounts!!! this is bad... how sad...huhu...depr...
13,I am falling asleep in the car! And my jaw feels super tight!,i am falling asleep in the car! and my jaw feels super tight!
14,@xoxoberecia i just wish they weren't dating  it sucks. i was so sad when i found out,i just wish they weren't dating it sucks. i was so sad when i found out
15,@Superpaperlink Cant believe ive missed it,cant believe ive missed it
16,@erickacartman NO HE WASN'T - my satellite info lied  jay was though so i could complain too much haha,no he wasn't - my satellite info lied jay was though so i could complain too much haha
17,"Gold fish. He was perfectly fine, then after we got back home, he wasn't so great... a.k.a dead...","gold fish. he was perfectly fine, then after we got back home, he wasn't so great... a.k.a dead..."
18,Sundays are so borings,sundays are so borings
19,I should sleep longer than only this 3 hours last night  So than my only thing to say for now is good night!!,i should sleep longer than only this 3 hours last night so than my only thing to say for now is good night!!
20,Power just went out. In about 15 minutes it will probably be too hot to sleep.,power just went out. in about 15 minutes it will probably be too hot to sleep.
21,@BdizzOy lmfao.. Lucky girl ta! (B! I really really need toothpaste lmfao... When u coming back?,lmfao.. lucky girl ta! b! i really really need toothpaste lmfao... when u coming back?
22,just a little upset that brent has left masterchef!,just a little upset that brent has left masterchef!
23,Oh UNi klinick KГЇВїВЅln how do I love thee. Must wait and wait and wait and then they tell me they have lost something. I'm 94 now serving 83,oh uni klinick k ln how do i love thee. must wait and wait and wait and then they tell me they have lost something. i'm 94 now serving 83
24,@mark_ca I don't get ondemand  do they put it out on dvd's?,i don't get ondemand do they put it out on dvd's?
25,Boston Globe could be shut down in 60 days http://sbne.ws/r/vWc,boston globe could be shut down in 60 days
26,Dinner was ok but the potato salad suck big time.  will stick to fries next time.,dinner was ok but the potato salad suck big time. will stick to fries next time.
27,"Juss getting off work, on my way home, no time for got a photo shoot today and its gonna be a long ass one","juss getting off work, on my way home, no time for got a photo shoot today and its gonna be a long ass one"
28,"BTW I am back from the Gold Coast, fun times, can't get out of school to spend time with friend  damn school","btw i am back from the gold coast, fun times, can't get out of school to spend time with friend damn school"
29,totally overpacked and can't zip my suitcase,totally overpacked and can't zip my suitcase
30,Trong nГЇВїВЅy toГЇВїВЅn ng??i n??c ngoГЇВїВЅi mГЇВїВЅnh vГЇВїВЅo ??c ch?ng hi?u mГЇВїВЅtГЇВїВЅ gГЇВїВЅ c? :-&lt; h?c d?t English nГЇВїВЅ kh? th? ??y,trong n y to n ng??i n??c ngo i m nh v o ??c ch?ng hi?u m t g c? - lt h?c d?t english n kh? th? ??y
31,"@granfalloon Yep.  Same as with True Blood. Found that on iTunes, though.","yep. same as with true blood. found that on itunes, though."
32,Laying in bed unable to sleep. Very sad and caught up in thought...,laying in bed unable to sleep. very sad and caught up in thought...
33,I miss my baby.,i miss my baby.
34,"@SherriEShepherd Hi Sherri!  Love you!  My daughter has Diabetes, she's almost 4   Love what you said about someone needing you today ...","hi sherri! love you! my daughter has diabetes, she's almost 4 love what you said about someone needing you today ..."
35,Got a sink full of dishes to do before I can go play,got a sink full of dishes to do before i can go play
36,I want to upload my photos from last night but the usb ports on my laptop are not working,i want to upload my photos from last night but the usb ports on my laptop are not working
37,@Ali1702 OMG- did daughter not come home last night?? What a huge worry. I would have been out of my mind. Poor you!,omg- did daughter not come home last night?? what a huge worry. i would have been out of my mind. poor you!
38,looks like I won't be making it home today.,looks like i won't be making it home today.
39,Going to work now!,going to work now!
40,"@quinn_keshalyi if it was the standard $375 that has been in the last year or so, maybe you would have come down under? Wanted to meet u","if it was the standard 375 that has been in the last year or so, maybe you would have come down under? wanted to meet u"
41,"@albynomonk oh no.... i'm sorry to read that... you see, i told u you  needed to see the doctor...  What's wrong?","oh no.... i'm sorry to read that... you see, i told u you needed to see the doctor... what's wrong?"
42,"got my home boy back from portugal at 03:30 am teaparty to celebrate my sister's 18th b-day, saddens me she's not up to much these days","got my home boy back from portugal at 03 30 am teaparty to celebrate my sister's 18th b-day, saddens me she's not up to much these days"
43,@maliajonas got a lot on my mind keeps on bugging me,got a lot on my mind keeps on bugging me
44,"Urgh, i wish i cld wave a magic wand and the cleaning would be done","urgh, i wish i cld wave a magic wand and the cleaning would be done"
45,feels like my hair is too dark to wear anything nice to work!!!,feels like my hair is too dark to wear anything nice to work!!!
46,"@DanaBrunetti too bad that tix thing didn't work on your cell  worse yet, you're leaving the girl behind, &lt;sniff&gt; too sad","too bad that tix thing didn't work on your cell worse yet, you're leaving the girl behind, lt sniff gt too sad"
47,thinking i should go to bed  sadness,thinking i should go to bed sadness
48,cant stop sneezing. im lonely,cant stop sneezing. im lonely
49,@camorose I'm SO JEALOUS! I want one so bad.,i'm so jealous! i want one so bad.
