,raw_text,clean_text
0,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D","- awww, that's a bummer. you shoulda got david carr of third day to do it. d"
1,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,is upset that he can't update his facebook by texting it... and might cry as a result school today also. blah!
2,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,i dived many times for the ball. managed to save 50 the rest go out of bounds
3,my whole body feels itchy and like its on fire,my whole body feels itchy and like its on fire
4,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there.","no, it's not behaving at all. i'm mad. why am i here? because i can't see you all over there."
5,@Kwesidei not the whole crew,not the whole crew
6,Need a hug,need a hug
7,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?","hey long time no see! yes.. rains a bit ,only a bit lol , i'm fine thanks , how's you ?"
8,@Tatiana_K nope they didn't have it,nope they didn't have it
9,@twittera que me muera ?,que me muera ?
10,spring break in plain city... it's snowing,spring break in plain city... it's snowing
11,I just re-pierced my ears,i just re-pierced my ears
12,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,i couldn't bear to watch it. and i thought the ua loss was embarrassing . . . . .
13,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore","it it counts, idk why i did either. you never talk to me anymore"
14,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.","i would've been the first, but i didn't have a gun. not really though, zac snyder's just a doucheclown."
15,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,i wish i got to watch it with you!! i miss you and how was the premiere?!
16,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,hollis' death scene will hurt me severely to watch on film wry is directors cut not out now?
17,about to file taxes,about to file taxes
18,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,ahh ive always wanted to see rent love the soundtrack!!
